"Qubit","T1 (us)","T2 (us)","판독 지정 오류","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID 오류","단일 큐비트 게이트 길이 (ns)","RX 오류","Z축 회전(rz) 오류","√x (sx) 오류","Pauli-X 오류","CZ 오류","게이트 길이 (ns)","RZZ 오류","MEASURE 오류","Operational"
"12","301.2825046244727","139.97644647612785","0.009033203125","0.01416015625","0.00390625","2584","0.00019802098463133751","36","0.00019802098463133751","0","0.00019802098463133751","0.00019802098463133751","13:0.0014574150837359523;11:0.0012478710143227767","13:80;11:68","13:0.0015358945273907243;11:0.0011122077131555663","0.009033203125","Yes"
"13","214.8038951600662","72.85994797075234","0.04248046875","0.02490234375","0.06005859375","2584","0.00020836058817452074","36","0.00020836058817452074","0","0.00020836058817452074","0.00020836058817452074","12:0.0014574150837359523;14:0.001292162017259929","12:80;14:80","12:0.0015358945273907243;14:0.0012616659380846607","0.04248046875","Yes"
"14","322.7660130332317","145.66114261449871","0.0048828125","0.0087890625","0.0009765625","2584","0.00016878671930840576","36","0.00016878671930840576","0","0.00016878671930840576","0.00016878671930840576","15:0.001202417853104265;13:0.001292162017259929","15:68;13:80","15:0.0012620355736917;13:0.0012616659380846607","0.0048828125","Yes"
"15","268.56504958116443","38.72008745171031","0.021240234375","0.0419921875","0.00048828125","2584","0.00020256095578703005","36","0.00020256095578703005","0","0.00020256095578703005","0.00020256095578703005","14:0.001202417853104265;19:0.0012463213110285032","14:68;19:68","14:0.0012620355736917;19:0.0014327546474614261","0.021240234375","Yes"
"16","145.12556324700063","133.13450116559073","0.029296875","0.0546875","0.00390625","2584","0.0002720340812110471","36","0.0002720340812110471","0","0.0002720340812110471","0.0002720340812110471","23:0.0018565264689187622;3:0.0021116341651876702","23:68;3:68","23:0.0015779162099849031;3:0.00161605443204485","0.029296875","Yes"
"17","270.4553881876939","12.13825814479928","0.0048828125","0.0087890625","0.0009765625","2584","0.0002592988605698359","36","0.0002592988605698359","0","0.0002592988605698359","0.0002592988605698359","7:0.0014317864711852757;27:0.002328150966428355","7:68;27:68","7:0.001617286092300968;27:0.002049320703681995","0.0048828125","Yes"
"18","95.90597751362485","103.92840855358048","0.015869140625","0.021484375","0.01025390625","2584","0.00031510840138138454","36","0.00031510840138138454","0","0.00031510840138138454","0.00031510840138138454","11:0.0017074448143218346;31:0.0022125184485073945","11:68;31:68","11:0.0018800555805255914;31:0.002145519880932617","0.015869140625","Yes"
"19","167.60550301117297","60.94681729862726","0.006103515625","0.009765625","0.00244140625","2584","0.00020278147764499736","36","0.00020278147764499736","0","0.00020278147764499736","0.00020278147764499736","35:0.001421134285746306;15:0.0012463213110285032","35:80;15:68","35:0.0014684226352054408;15:0.0014327546474614261","0.006103515625","Yes"
"20","132.73677484163383","81.73765435463146","0.006591796875","0.01220703125","0.0009765625","2584","0.0003366784567607949","36","0.0003366784567607949","0","0.0003366784567607949","0.0003366784567607949","21:0.0023923422995405785","21:68","21:0.0019220724106584208","0.006591796875","Yes"
"21","269.19163613340095","166.8042507876127","0.0078125","0.013671875","0.001953125","2584","0.00017972168750279838","36","0.00017972168750279838","0","0.00017972168750279838","0.00017972168750279838","36:0.00203752626736714;20:0.0023923422995405785;22:0.001494800172840649","36:68;20:68;22:68","36:0.0021170694743061214;20:0.0019220724106584208;22:0.0014338053785106775","0.0078125","Yes"
"22","204.19645710698484","11.950582199581053","0.0048828125","0.00830078125","0.00146484375","2584","0.0002497600505472169","36","0.0002497600505472169","0","0.0002497600505472169","0.0002497600505472169","23:0.0017969748215824477;21:0.001494800172840649","23:68;21:68","23:0.0017276444897847132;21:0.0014338053785106775","0.0048828125","Yes"
"23","294.84866682263487","176.79319015765904","0.019775390625","0.03076171875","0.0087890625","2584","0.00013269272636508056","36","0.00013269272636508056","0","0.00013269272636508056","0.00013269272636508056","22:0.0017969748215824477;24:0.003442559482075336;16:0.0018565264689187622","22:68;24:68;16:68","22:0.0017276444897847132;24:0.002817998870379812;16:0.0015779162099849031","0.019775390625","Yes"
"24","134.26755964026006","49.69092861557111","0.00634765625","0.01171875","0.0009765625","2584","0.0003910482709905439","36","0.0003910482709905439","0","0.0003910482709905439","0.0003910482709905439","23:0.003442559482075336;25:0.003305326231307304","23:68;25:68","23:0.002817998870379812;25:0.0035084159690402794","0.00634765625","Yes"
"25","154.90120210280463","59.43248651380317","0.01611328125","0.029296875","0.0029296875","2584","0.000465655410470796","36","0.000465655410470796","0","0.000465655410470796","0.000465655410470796","24:0.003305326231307304;26:0.016819462707259814;37:0.0033620744346975484","24:68;26:68;37:68","24:0.0035084159690402794;26:0.015383421576590561;37:0.0033164854962584867","0.01611328125","Yes"
"26","7.184360898437684","5.826908999601971","0.048095703125","0.08984375","0.00634765625","2584","0.0024074361638304212","36","0.0024074361638304212","0","0.0024074361638304212","0.0024074361638304212","25:0.016819462707259814;27:0.012443112795446631","25:68;27:68","25:0.015383421576590561;27:0.010272901361519537","0.048095703125","Yes"
"27","119.74363292315472","145.85955186479615","0.0087890625","0.01416015625","0.00341796875","2584","0.00022984557693730834","36","0.00022984557693730834","0","0.00022984557693730834","0.00022984557693730834","26:0.012443112795446631;28:0.0016007748881808614;17:0.002328150966428355","26:68;28:68;17:68","26:0.010272901361519537;28:0.0016271994127735612;17:0.002049320703681995","0.0087890625","Yes"
"28","223.22912828329333","163.54258054719884","0.015625","0.02392578125","0.00732421875","2584","0.00017969026663943656","36","0.00017969026663943656","0","0.00017969026663943656","0.00017969026663943656","27:0.0016007748881808614;29:0.0031631924358702934","27:68;29:68","27:0.0016271994127735612;29:0.002290158006620302","0.015625","Yes"
"29","76.15271742999751","93.55068826419769","0.019287109375","0.0322265625","0.00634765625","2584","0.00039621918051149557","36","0.00039621918051149557","0","0.00039621918051149557","0.00039621918051149557","38:0.002752126522569065;28:0.0031631924358702934;30:0.002381388490036801","38:68;28:68;30:68","38:0.0024256176244773775;28:0.002290158006620302;30:0.002212699437946164","0.019287109375","Yes"
"30","260.7719964348043","61.22274240283851","0.008544921875","0.00927734375","0.0078125","2584","0.0005902478531976445","36","0.0005902478531976445","0","0.0005902478531976445","0.0005902478531976445","31:0.002372740378828647;29:0.002381388490036801","31:68;29:68","31:0.0022022008120465286;29:0.002212699437946164","0.008544921875","Yes"
"31","128.63776493315746","63.11075155720201","0.036865234375","0.0712890625","0.00244140625","2584","0.00023975991707538675","36","0.00023975991707538675","0","0.00023975991707538675","0.00023975991707538675","30:0.002372740378828647;32:0.0028694659399854383;18:0.0022125184485073945","30:68;32:68;18:68","30:0.0022022008120465286;32:0.0018283206566589438;18:0.002145519880932617","0.036865234375","Yes"
"32","270.4151772103678","47.31296360550299","0.0078125","0.0146484375","0.0009765625","2584","0.0005059462611056879","36","0.0005059462611056879","0","0.0005059462611056879","0.0005059462611056879","31:0.0028694659399854383;33:0.002975609607759694","31:68;33:68","31:0.0018283206566589438;33:0.0015679516416093886","0.0078125","Yes"
"33","123.02382386360347","106.24306215543771","0.00732421875","0.013671875","0.0009765625","2584","0.00027385994571660306","36","0.00027385994571660306","0","0.00027385994571660306","0.00027385994571660306","39:0.0025699149305425384;32:0.002975609607759694;34:0.0028888164833956453","39:68;32:68;34:68","39:0.0033611747257293323;32:0.0015679516416093886;34:0.0020141370480891985","0.00732421875","Yes"
"34","158.2785681850072","127.43988936213219","0.00390625","0.0068359375","0.0009765625","2584","0.000321463718742895","36","0.000321463718742895","0","0.000321463718742895","0.000321463718742895","33:0.0028888164833956453;35:0.0028204705377649075","33:68;35:68","33:0.0020141370480891985;35:0.002071477988699333","0.00390625","Yes"
"35","265.6111598988074","378.3208421732147","0.01904296875","0.013671875","0.0244140625","2584","0.00013917154744452027","36","0.00013917154744452027","0","0.00013917154744452027","0.00013917154744452027","19:0.001421134285746306;34:0.0028204705377649075","19:80;34:68","19:0.0014684226352054408;34:0.002071477988699333","0.01904296875","Yes"
"36","200.4945733013731","102.42667341998722","0.009765625","0.01904296875","0.00048828125","2584","0.0036919566697958994","36","0.0036919566697958994","0","0.0036919566697958994","0.0036919566697958994","41:0.0027549331359823237;21:0.00203752626736714","41:68;21:68","41:0.0028159696011245128;21:0.0021170694743061214","0.009765625","Yes"
"37","183.12695794407054","31.12478526049854","0.01806640625","0.03271484375","0.00341796875","2584","0.0006347266627197194","36","0.0006347266627197194","0","0.0006347266627197194","0.0006347266627197194","45:0.004060238546493844;25:0.0033620744346975484","45:68;25:68","45:0.0032168038579705738;25:0.0033164854962584867","0.01806640625","Yes"
"38","113.5978768408815","95.61545100641928","0.010498046875","0.01318359375","0.0078125","2584","0.0005231920162449727","36","0.0005231920162449727","0","0.0005231920162449727","0.0005231920162449727","29:0.002752126522569065;49:0.002798989047666761","29:68;49:68","29:0.0024256176244773775;49:0.002432874370734195","0.010498046875","Yes"
"39","129.1366872359317","119.89199879807792","0.025634765625","0.04052734375","0.0107421875","2584","0.00035840391734649356","36","0.00035840391734649356","0","0.00035840391734649356","0.00035840391734649356","53:0.0017050206393781353;33:0.0025699149305425384","53:68;33:68","53:0.0013992271799508071;33:0.0033611747257293323","0.025634765625","Yes"
"40","98.74354843964227","30.718722265661903","0.030517578125","0.02685546875","0.0341796875","2584","0.0005274775770357682","36","0.0005274775770357682","0","0.0005274775770357682","0.0005274775770357682","41:0.10981097962378232","41:68","41:0.0593992934763079","0.030517578125","Yes"
"41","212.36743428317305","36.06472595144957","0.0087890625","0.017578125","0","2584","0.0005991662413886147","36","0.0005991662413886147","0","0.0005991662413886147","0.0005991662413886147","40:0.10981097962378232;42:0.015357116629136303;36:0.0027549331359823237","40:68;42:68;36:68","40:0.0593992934763079;42:0.003440252587248671;36:0.0028159696011245128","0.0087890625","Yes"
"42","303.4345346830068","154.4991338188007","0.006103515625","0.00634765625","0.005859375","2584","0.0001893848802320806","36","0.0001893848802320806","0","0.0001893848802320806","0.0001893848802320806","41:0.015357116629136303;43:0.00639036797511186","41:68;43:68","41:0.003440252587248671;43:0.0029375683421121457","0.006103515625","Yes"
"43","198.67373855259157","79.40551140073757","0.01171875","0.00927734375","0.01416015625","2584","0.00043216628253116247","36","0.00043216628253116247","0","0.00043216628253116247","0.00043216628253116247","42:0.00639036797511186;56:0.0020086680519200983;44:0.0016981575149892514","42:68;56:68;44:68","42:0.0029375683421121457;56:0.0023098807260766574;44:0.0022019416650532475","0.01171875","Yes"
